,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
8,Europe,荷兰,Netherlands,9762,0.0,2954,639,2020-03-29
709,Europe,荷兰,Netherlands,9762,0.0,2954,639,2020-03-28
3040,Europe,荷兰,Netherlands,8603,0.0,0,546,2020-03-27
5586,Europe,荷兰,Netherlands,7431,0.0,0,434,2020-03-26
9654,Europe,荷兰,Netherlands,6412,0.0,0,356,2020-03-25
11290,Europe,荷兰,Netherlands,5560,0.0,0,276,2020-03-24
14626,Europe,荷兰,Netherlands,4797,0.0,0,213,2020-03-23
17221,Europe,荷兰,Netherlands,4204,0.0,0,179,2020-03-22
18649,Europe,荷兰,Netherlands,3631,0.0,0,136,2020-03-21
19590,Europe,荷兰,Netherlands,2994,0.0,0,106,2020-03-20
20849,Europe,荷兰,Netherlands,2460,0.0,0,58,2020-03-19
23191,Europe,荷兰,Netherlands,1705,0.0,0,43,2020-03-18
24598,Europe,荷兰,Netherlands,1705,0.0,0,24,2020-03-17
26936,Europe,荷兰,Netherlands,1135,0.0,0,20,2020-03-16
28039,Europe,荷兰,Netherlands,959,0.0,0,12,2020-03-15
29514,Europe,荷兰,Netherlands,804,0.0,0,5,2020-03-14
30099,Europe,荷兰,Netherlands,804,0.0,0,5,2020-03-13
31264,Europe,荷兰,Netherlands,503,0.0,0,5,2020-03-12
32357,Europe,荷兰,Netherlands,382,0.0,0,4,2020-03-11
32978,Europe,荷兰,Netherlands,382,0.0,0,4,2020-03-10
34568,Europe,荷兰,Netherlands,188,0.0,0,1,2020-03-09
35098,Europe,荷兰,Netherlands,188,0.0,0,1,2020-03-08
36160,Europe,荷兰,Netherlands,128,0.0,0,1,2020-03-07
37124,Europe,荷兰,Netherlands,82,0.0,0,0,2020-03-06
38072,Europe,荷兰,Netherlands,38,0.0,0,0,2020-03-05
39443,Europe,荷兰,Netherlands,24,0.0,0,0,2020-03-04
40219,Europe,荷兰,Netherlands,24,0.0,0,0,2020-03-03
41825,Europe,荷兰,Netherlands,10,0.0,0,0,2020-03-02
43542,Europe,荷兰,Netherlands,7,0.0,0,0,2020-03-01
44400,Europe,荷兰,Netherlands,2,0.0,0,0,2020-02-29
46000,Europe,荷兰,Netherlands,1,0.0,0,0,2020-02-28
