,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
148,South America,荷兰加勒比地区,,荷兰加勒比地区,,6,0.0,0,0,,,,,,,2020-04-29
5019,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-25
8088,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-23
9570,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-22
11896,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-21
12688,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-20
13595,South America,荷兰加勒比地区,,荷兰加勒比地区,,5,0.0,0,0,,,,,,,2020-04-19
16404,South America,荷兰加勒比地区,,荷兰加勒比地区,,4,0.0,0,0,,,,,,,2020-04-17
17890,South America,荷兰加勒比地区,,荷兰加勒比地区,,4,0.0,0,0,,,,,,,2020-04-16
20273,South America,荷兰加勒比地区,,荷兰加勒比地区,,3,0.0,0,0,,,,,,,2020-04-15
21014,South America,荷兰加勒比地区,,荷兰加勒比地区,,3,0.0,0,0,,,,,,,2020-04-14
23410,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-12
26690,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-10
27930,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-09
29574,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-08
31341,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-07
33554,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-06
35072,South America,荷兰加勒比地区,,荷兰加勒比地区,,2,0.0,0,0,,,,,,,2020-04-05
