,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
674,North America,荷属圣马丁,,荷属圣马丁,,74,0.0,0,13,,,,,,,2020-04-29
1220,North America,荷属圣马丁,,荷属圣马丁,,74,0.0,0,13,,,,,,,2020-04-28
3623,North America,荷属圣马丁,,荷属圣马丁,,73,0.0,0,12,,,,,,,2020-04-26
4977,North America,荷属圣马丁,,荷属圣马丁,,73,0.0,0,12,,,,,,,2020-04-25
6612,North America,荷属圣马丁,,荷属圣马丁,,71,0.0,0,11,,,,,,,2020-04-24
8034,North America,荷属圣马丁,,荷属圣马丁,,68,0.0,0,10,,,,,,,2020-04-23
9234,North America,荷属圣马丁,,荷属圣马丁,,67,0.0,0,10,,,,,,,2020-04-22
11289,North America,荷属圣马丁,,荷属圣马丁,,64,0.0,0,9,,,,,,,2020-04-21
12637,North America,荷属圣马丁,,荷属圣马丁,,57,0.0,0,9,,,,,,,2020-04-20
14493,North America,荷属圣马丁,,荷属圣马丁,,57,0.0,0,9,,,,,,,2020-04-19
14765,North America,荷属圣马丁,,荷属圣马丁,,57,0.0,0,9,,,,,,,2020-04-18
16027,North America,荷属圣马丁,,荷属圣马丁,,53,0.0,0,9,,,,,,,2020-04-17
17860,North America,荷属圣马丁,,荷属圣马丁,,52,0.0,0,9,,,,,,,2020-04-16
19202,North America,荷属圣马丁,,荷属圣马丁,,52,0.0,0,9,,,,,,,2020-04-15
20972,North America,荷属圣马丁,,荷属圣马丁,,50,0.0,0,9,,,,,,,2020-04-14
22660,North America,荷属圣马丁,,荷属圣马丁,,50,0.0,0,9,,,,,,,2020-04-13
23346,North America,荷属圣马丁,,荷属圣马丁,,50,0.0,0,9,,,,,,,2020-04-12
24845,North America,荷属圣马丁,,荷属圣马丁,,43,0.0,0,8,,,,,,,2020-04-11
26631,North America,荷属圣马丁,,荷属圣马丁,,40,0.0,0,8,,,,,,,2020-04-10
27594,North America,荷属圣马丁,,荷属圣马丁,,40,0.0,0,8,,,,,,,2020-04-09
29518,North America,荷属圣马丁,,荷属圣马丁,,37,0.0,0,6,,,,,,,2020-04-08
31300,North America,荷属圣马丁,,荷属圣马丁,,23,0.0,0,2,,,,,,,2020-04-07
33526,North America,荷属圣马丁,,荷属圣马丁,,23,0.0,0,2,,,,,,,2020-04-06
35016,North America,荷属圣马丁,,荷属圣马丁,,23,0.0,0,2,,,,,,,2020-04-05
37112,North America,荷属圣马丁,,荷属圣马丁,,18,0.0,0,1,,,,,,,2020-04-04
38302,North America,荷属圣马丁,,荷属圣马丁,,6,0.0,0,0,,,,,,,2020-04-03
40983,North America,荷属圣马丁,,荷属圣马丁,,6,0.0,0,0,,,,,,,2020-04-02
42313,North America,荷属圣马丁,,荷属圣马丁,,6,0.0,0,0,,,,,,,2020-04-01
44164,North America,荷属圣马丁,,荷属圣马丁,,0,0.0,0,0,,,,,,,2020-03-31
