,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
26,Asia,菲律宾,Philippines,菲律宾,Philippines,2311,0.0,50,96,,,,,,,2020-04-02
109,Asia,菲律宾,Philippines,菲律宾,Philippines,2311,0.0,50,96,,,,,,,2020-04-01
2178,Asia,菲律宾,Philippines,菲律宾,Philippines,2084,0.0,49,88,,,,,,,2020-03-31
4243,Asia,菲律宾,Philippines,菲律宾,Philippines,1546,0.0,42,78,,,,,,,2020-03-30
7107,Asia,菲律宾,Philippines,菲律宾,Philippines,1418,0.0,42,71,,,,,,,2020-03-29
8950,Asia,菲律宾,Philippines,菲律宾,Philippines,1075,0.0,35,68,,,,,,,2020-03-28
11362,Asia,菲律宾,Philippines,菲律宾,Philippines,803,0.0,31,54,,,,,,,2020-03-27
13794,Asia,菲律宾,Philippines,菲律宾,Philippines,707,0.0,28,45,,,,,,,2020-03-26
18000,Asia,菲律宾,Philippines,菲律宾,Philippines,636,0.0,26,38,,,,,,,2020-03-25
19537,Asia,菲律宾,Philippines,菲律宾,Philippines,552,0.0,20,35,,,,,,,2020-03-24
22874,Asia,菲律宾,Philippines,菲律宾,Philippines,462,0.0,18,33,,,,,,,2020-03-23
25536,Asia,菲律宾,Philippines,菲律宾,Philippines,380,0.0,15,25,,,,,,,2020-03-22
26869,Asia,菲律宾,Philippines,菲律宾,Philippines,307,0.0,13,19,,,,,,,2020-03-21
27844,Asia,菲律宾,Philippines,菲律宾,Philippines,230,0.0,7,18,,,,,,,2020-03-20
29098,Asia,菲律宾,Philippines,菲律宾,Philippines,217,0.0,7,17,,,,,,,2020-03-19
30990,Asia,菲律宾,Philippines,菲律宾,Philippines,202,0.0,1,14,,,,,,,2020-03-18
32825,Asia,菲律宾,Philippines,菲律宾,Philippines,187,0.0,1,14,,,,,,,2020-03-17
35177,Asia,菲律宾,Philippines,菲律宾,Philippines,140,0.0,1,11,,,,,,,2020-03-16
36232,Asia,菲律宾,Philippines,菲律宾,Philippines,140,0.0,1,11,,,,,,,2020-03-15
37419,Asia,菲律宾,Philippines,菲律宾,Philippines,98,0.0,1,6,,,,,,,2020-03-14
38316,Asia,菲律宾,Philippines,菲律宾,Philippines,64,0.0,1,2,,,,,,,2020-03-13
39251,Asia,菲律宾,Philippines,菲律宾,Philippines,52,0.0,1,2,,,,,,,2020-03-12
40299,Asia,菲律宾,Philippines,菲律宾,Philippines,35,0.0,1,1,,,,,,,2020-03-11
41225,Asia,菲律宾,Philippines,菲律宾,Philippines,33,0.0,1,1,,,,,,,2020-03-10
42579,Asia,菲律宾,Philippines,菲律宾,Philippines,10,0.0,1,1,,,,,,,2020-03-09
43777,Asia,菲律宾,Philippines,菲律宾,Philippines,6,0.0,1,1,,,,,,,2020-03-08
44414,Asia,菲律宾,Philippines,菲律宾,Philippines,6,0.0,1,1,,,,,,,2020-03-07
45368,Asia,菲律宾,Philippines,菲律宾,Philippines,5,0.0,1,1,,,,,,,2020-03-06
47043,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-03-05
49423,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-03-03
50925,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-03-02
51773,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-03-01
52620,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-29
56872,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-26
72056,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-16
75115,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-15
77394,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-14
78237,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-13
80367,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,,2020-02-12
82669,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,0,1,,,,,,,2020-02-11
84569,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,0,1,,,,,,,2020-02-10
90299,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,0,1,,,,,,,2020-02-08
103289,Asia,菲律宾,Philippines,菲律宾,Philippines,2,0.0,0,1,,,,,,,2020-02-02
104013,Asia,菲律宾,Philippines,菲律宾,Philippines,1,0.0,0,0,,,,,,,2020-02-01
