,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
107,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,323,0.0,0,8,,,,,,,2020-04-29
903,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,298,0.0,0,8,,,,,,,2020-04-28
2321,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,274,0.0,0,8,,,,,,,2020-04-27
3441,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,261,0.0,0,8,,,,,,,2020-04-26
4723,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,250,0.0,0,8,,,,,,,2020-04-25
6395,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,237,0.0,0,7,,,,,,,2020-04-24
7837,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,225,0.0,0,7,,,,,,,2020-04-23
9199,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,218,0.0,0,7,,,,,,,2020-04-22
10837,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,201,0.0,0,7,,,,,,,2020-04-21
12362,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,190,0.0,0,7,,,,,,,2020-04-20
13548,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,177,0.0,0,7,,,,,,,2020-04-19
14733,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,164,0.0,0,6,,,,,,,2020-04-18
16002,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,159,0.0,0,6,,,,,,,2020-04-17
17681,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,149,0.0,0,6,,,,,,,2020-04-16
19053,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,137,0.0,0,6,,,,,,,2020-04-15
20506,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,125,0.0,0,6,,,,,,,2020-04-14
22003,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,118,0.0,0,6,,,,,,,2020-04-13
23325,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,117,0.0,0,6,,,,,,,2020-04-12
24829,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,103,0.0,0,5,,,,,,,2020-04-11
26366,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,93,0.0,0,5,,,,,,,2020-04-10
27575,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,78,0.0,0,4,,,,,,,2020-04-09
29502,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,69,0.0,0,3,,,,,,,2020-04-08
31023,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,62,0.0,0,3,,,,,,,2020-04-07
33506,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,56,0.0,0,3,,,,,,,2020-04-06
35004,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,46,0.0,0,2,,,,,,,2020-04-05
37096,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,41,0.0,0,2,,,,,,,2020-04-04
38266,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,32,0.0,0,1,,,,,,,2020-04-03
40940,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,30,0.0,0,0,,,,,,,2020-04-02
42273,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,30,0.0,0,0,,,,,,,2020-04-01
44306,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,24,0.0,0,0,,,,,,,2020-03-31
46256,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,19,0.0,0,0,,,,,,,2020-03-30
49879,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,13,0.0,0,0,,,,,,,2020-03-29
51552,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,13,0.0,0,0,,,,,,,2020-03-28
53368,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,13,0.0,0,0,,,,,,,2020-03-27
55888,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,5,0.0,0,0,,,,,,,2020-03-26
60124,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,3,0.0,0,0,,,,,,,2020-03-25
61587,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-24
64903,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-23
67924,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-22
68995,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-21
69855,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-20
71358,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,1,0.0,0,0,,,,,,,2020-03-19
