,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
55,Europe,葡萄牙,Portugal,葡萄牙,Portugal,8251,0.0,22,187,,,,,,,2020-04-01
2161,Europe,葡萄牙,Portugal,葡萄牙,Portugal,7443,0.0,22,160,,,,,,,2020-03-31
4106,Europe,葡萄牙,Portugal,葡萄牙,Portugal,6408,0.0,22,140,,,,,,,2020-03-30
7261,Europe,葡萄牙,Portugal,葡萄牙,Portugal,5962,0.0,22,119,,,,,,,2020-03-29
8931,Europe,葡萄牙,Portugal,葡萄牙,Portugal,4268,0.0,22,76,,,,,,,2020-03-28
11337,Europe,葡萄牙,Portugal,葡萄牙,Portugal,3544,0.0,22,60,,,,,,,2020-03-27
13755,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2995,0.0,22,33,,,,,,,2020-03-26
17875,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2362,0.0,22,29,,,,,,,2020-03-25
19515,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2060,0.0,14,23,,,,,,,2020-03-24
22848,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2060,0.0,14,23,,,,,,,2020-03-23
25440,Europe,葡萄牙,Portugal,葡萄牙,Portugal,1600,0.0,3,12,,,,,,,2020-03-22
26946,Europe,葡萄牙,Portugal,葡萄牙,Portugal,1280,0.0,3,12,,,,,,,2020-03-21
27820,Europe,葡萄牙,Portugal,葡萄牙,Portugal,642,0.0,3,2,,,,,,,2020-03-20
29076,Europe,葡萄牙,Portugal,葡萄牙,Portugal,642,0.0,3,1,,,,,,,2020-03-19
31419,Europe,葡萄牙,Portugal,葡萄牙,Portugal,448,0.0,3,1,,,,,,,2020-03-18
32806,Europe,葡萄牙,Portugal,葡萄牙,Portugal,448,0.0,3,1,,,,,,,2020-03-17
35168,Europe,葡萄牙,Portugal,葡萄牙,Portugal,245,0.0,0,0,,,,,,,2020-03-16
36278,Europe,葡萄牙,Portugal,葡萄牙,Portugal,112,0.0,0,0,,,,,,,2020-03-15
37766,Europe,葡萄牙,Portugal,葡萄牙,Portugal,59,0.0,0,0,,,,,,,2020-03-14
38569,Europe,葡萄牙,Portugal,葡萄牙,Portugal,59,0.0,0,0,,,,,,,2020-03-13
39505,Europe,葡萄牙,Portugal,葡萄牙,Portugal,59,0.0,0,0,,,,,,,2020-03-12
40601,Europe,葡萄牙,Portugal,葡萄牙,Portugal,30,0.0,0,0,,,,,,,2020-03-11
41280,Europe,葡萄牙,Portugal,葡萄牙,Portugal,30,0.0,0,0,,,,,,,2020-03-10
42572,Europe,葡萄牙,Portugal,葡萄牙,Portugal,30,0.0,0,0,,,,,,,2020-03-09
43340,Europe,葡萄牙,Portugal,葡萄牙,Portugal,15,0.0,0,0,,,,,,,2020-03-08
44407,Europe,葡萄牙,Portugal,葡萄牙,Portugal,8,0.0,0,0,,,,,,,2020-03-07
46066,Europe,葡萄牙,Portugal,葡萄牙,Portugal,5,0.0,0,0,,,,,,,2020-03-06
46309,Europe,葡萄牙,Portugal,葡萄牙,Portugal,5,0.0,0,0,,,,,,,2020-03-05
47674,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2,0.0,0,0,,,,,,,2020-03-04
48489,Europe,葡萄牙,Portugal,葡萄牙,Portugal,2,0.0,0,0,,,,,,,2020-03-03
