,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
687,Asia,蒙古,Mongolia,蒙古,Mongolia,38,0.0,10,0,,,,,,,2020-04-29
1236,Asia,蒙古,Mongolia,蒙古,Mongolia,38,0.0,10,0,,,,,,,2020-04-28
2524,Asia,蒙古,Mongolia,蒙古,Mongolia,38,0.0,10,0,,,,,,,2020-04-27
3634,Asia,蒙古,Mongolia,蒙古,Mongolia,38,0.0,9,0,,,,,,,2020-04-26
4995,Asia,蒙古,Mongolia,蒙古,Mongolia,36,0.0,6,0,,,,,,,2020-04-25
6624,Asia,蒙古,Mongolia,蒙古,Mongolia,36,0.0,6,0,,,,,,,2020-04-24
8052,Asia,蒙古,Mongolia,蒙古,Mongolia,34,0.0,5,0,,,,,,,2020-04-23
9249,Asia,蒙古,Mongolia,蒙古,Mongolia,33,0.0,5,0,,,,,,,2020-04-22
11010,Asia,蒙古,Mongolia,蒙古,Mongolia,33,0.0,5,0,,,,,,,2020-04-21
12652,Asia,蒙古,Mongolia,蒙古,Mongolia,32,0.0,5,0,,,,,,,2020-04-20
13586,Asia,蒙古,Mongolia,蒙古,Mongolia,32,0.0,5,0,,,,,,,2020-04-19
14772,Asia,蒙古,Mongolia,蒙古,Mongolia,31,0.0,5,0,,,,,,,2020-04-18
16376,Asia,蒙古,Mongolia,蒙古,Mongolia,30,0.0,5,0,,,,,,,2020-04-17
17873,Asia,蒙古,Mongolia,蒙古,Mongolia,30,0.0,5,0,,,,,,,2020-04-16
19212,Asia,蒙古,Mongolia,蒙古,Mongolia,30,0.0,5,0,,,,,,,2020-04-15
20982,Asia,蒙古,Mongolia,蒙古,Mongolia,30,0.0,5,0,,,,,,,2020-04-14
22990,Asia,蒙古,Mongolia,蒙古,Mongolia,16,0.0,2,0,,,,,,,2020-04-13
23370,Asia,蒙古,Mongolia,蒙古,Mongolia,16,0.0,2,0,,,,,,,2020-04-12
26650,Asia,蒙古,Mongolia,蒙古,Mongolia,16,0.0,2,0,,,,,,,2020-04-10
27613,Asia,蒙古,Mongolia,蒙古,Mongolia,16,0.0,2,0,,,,,,,2020-04-09
29361,Asia,蒙古,Mongolia,蒙古,Mongolia,16,0.0,2,0,,,,,,,2020-04-08
31049,Asia,蒙古,Mongolia,蒙古,Mongolia,15,0.0,2,0,,,,,,,2020-04-07
33078,Asia,蒙古,Mongolia,蒙古,Mongolia,15,0.0,2,0,,,,,,,2020-04-06
35030,Asia,蒙古,Mongolia,蒙古,Mongolia,14,0.0,0,0,,,,,,,2020-04-05
37119,Asia,蒙古,Mongolia,蒙古,Mongolia,14,0.0,0,0,,,,,,,2020-04-04
38281,Asia,蒙古,Mongolia,蒙古,Mongolia,14,0.0,0,0,,,,,,,2020-04-03
40959,Asia,蒙古,Mongolia,蒙古,Mongolia,12,0.0,0,0,,,,,,,2020-04-02
42291,Asia,蒙古,Mongolia,蒙古,Mongolia,12,0.0,0,0,,,,,,,2020-04-01
44322,Asia,蒙古,Mongolia,蒙古,Mongolia,12,0.0,0,0,,,,,,,2020-03-31
46264,Asia,蒙古,Mongolia,蒙古,Mongolia,12,0.0,0,0,,,,,,,2020-03-30
49881,Asia,蒙古,Mongolia,蒙古,Mongolia,12,0.0,0,0,,,,,,,2020-03-29
51557,Asia,蒙古,Mongolia,蒙古,Mongolia,11,0.0,0,0,,,,,,,2020-03-28
53374,Asia,蒙古,Mongolia,蒙古,Mongolia,11,0.0,0,0,,,,,,,2020-03-27
55874,Asia,蒙古,Mongolia,蒙古,Mongolia,11,0.0,0,0,,,,,,,2020-03-26
60096,Asia,蒙古,Mongolia,蒙古,Mongolia,10,0.0,0,0,,,,,,,2020-03-25
61539,Asia,蒙古,Mongolia,蒙古,Mongolia,10,0.0,0,0,,,,,,,2020-03-24
64856,Asia,蒙古,Mongolia,蒙古,Mongolia,10,0.0,0,0,,,,,,,2020-03-23
67514,Asia,蒙古,Mongolia,蒙古,Mongolia,10,0.0,0,0,,,,,,,2020-03-22
68748,Asia,蒙古,Mongolia,蒙古,Mongolia,10,0.0,0,0,,,,,,,2020-03-21
69820,Asia,蒙古,Mongolia,蒙古,Mongolia,5,0.0,0,0,,,,,,,2020-03-20
71073,Asia,蒙古,Mongolia,蒙古,Mongolia,4,0.0,0,0,,,,,,,2020-03-19
73408,Asia,蒙古,Mongolia,蒙古,Mongolia,4,0.0,0,0,,,,,,,2020-03-18
75082,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-17
77161,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-16
78256,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-15
79721,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-14
80522,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-13
81455,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-12
82548,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-11
83237,Asia,蒙古,Mongolia,蒙古,Mongolia,1,0.0,0,0,,,,,,,2020-03-10
