,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
415,North America,蒙特塞拉特,,蒙特塞拉特,,5,0.0,0,0,,,,,,,2020-04-01
2439,North America,蒙特塞拉特,,蒙特塞拉特,,5,0.0,0,0,,,,,,,2020-03-31
4388,North America,蒙特塞拉特,,蒙特塞拉特,,5,0.0,0,0,,,,,,,2020-03-30
8003,North America,蒙特塞拉特,,蒙特塞拉特,,5,0.0,0,0,,,,,,,2020-03-29
9692,North America,蒙特塞拉特,,蒙特塞拉特,,2,0.0,0,0,,,,,,,2020-03-28
11509,North America,蒙特塞拉特,,蒙特塞拉特,,2,0.0,0,0,,,,,,,2020-03-27
15200,North America,蒙特塞拉特,,蒙特塞拉特,,1,0.0,0,0,,,,,,,2020-03-26
18240,North America,蒙特塞拉特,,蒙特塞拉特,,1,0.0,0,0,,,,,,,2020-03-25
19687,North America,蒙特塞拉特,,蒙特塞拉特,,1,0.0,0,0,,,,,,,2020-03-24
23020,North America,蒙特塞拉特,,蒙特塞拉特,,1,0.0,0,0,,,,,,,2020-03-23
