,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
232,Europe,西班牙,Spain,西班牙,Spain,102136,0.0,14709,9053,,,,,,,2020-04-01
2151,Europe,西班牙,Spain,西班牙,Spain,94417,0.0,14709,8189,,,,,,,2020-03-31
4213,Europe,西班牙,Spain,西班牙,Spain,85195,0.0,14709,7340,,,,,,,2020-03-30
7272,Europe,西班牙,Spain,西班牙,Spain,78797,0.0,12285,6528,,,,,,,2020-03-29
9289,Europe,西班牙,Spain,西班牙,Spain,72248,0.0,12285,5690,,,,,,,2020-03-28
11325,Europe,西班牙,Spain,西班牙,Spain,64059,0.0,7015,4858,,,,,,,2020-03-27
13833,Europe,西班牙,Spain,西班牙,Spain,56188,0.0,5367,4089,,,,,,,2020-03-26
17802,Europe,西班牙,Spain,西班牙,Spain,47610,0.0,5367,3434,,,,,,,2020-03-25
19501,Europe,西班牙,Spain,西班牙,Spain,39673,0.0,3355,2696,,,,,,,2020-03-24
22837,Europe,西班牙,Spain,西班牙,Spain,33089,0.0,3355,2182,,,,,,,2020-03-23
25502,Europe,西班牙,Spain,西班牙,Spain,28572,0.0,2125,1720,,,,,,,2020-03-22
26932,Europe,西班牙,Spain,西班牙,Spain,24926,0.0,2125,1326,,,,,,,2020-03-21
27800,Europe,西班牙,Spain,西班牙,Spain,19980,0.0,1588,1002,,,,,,,2020-03-20
29059,Europe,西班牙,Spain,西班牙,Spain,17147,0.0,1081,767,,,,,,,2020-03-19
30968,Europe,西班牙,Spain,西班牙,Spain,13716,0.0,1081,598,,,,,,,2020-03-18
32811,Europe,西班牙,Spain,西班牙,Spain,11178,0.0,1028,491,,,,,,,2020-03-17
34862,Europe,西班牙,Spain,西班牙,Spain,9191,0.0,571,309,,,,,,,2020-03-16
36206,Europe,西班牙,Spain,西班牙,Spain,7753,0.0,571,288,,,,,,,2020-03-15
37388,Europe,西班牙,Spain,西班牙,Spain,5232,0.0,189,120,,,,,,,2020-03-14
38333,Europe,西班牙,Spain,西班牙,Spain,4209,0.0,189,120,,,,,,,2020-03-13
39217,Europe,西班牙,Spain,西班牙,Spain,2968,0.0,189,84,,,,,,,2020-03-12
40214,Europe,西班牙,Spain,西班牙,Spain,2128,0.0,183,47,,,,,,,2020-03-11
41194,Europe,西班牙,Spain,西班牙,Spain,1648,0.0,2,35,,,,,,,2020-03-10
42477,Europe,西班牙,Spain,西班牙,Spain,999,0.0,2,25,,,,,,,2020-03-09
43311,Europe,西班牙,Spain,西班牙,Spain,516,0.0,2,10,,,,,,,2020-03-08
44372,Europe,西班牙,Spain,西班牙,Spain,387,0.0,2,1,,,,,,,2020-03-07
45119,Europe,西班牙,Spain,西班牙,Spain,345,0.0,2,1,,,,,,,2020-03-06
46286,Europe,西班牙,Spain,西班牙,Spain,229,0.0,2,1,,,,,,,2020-03-05
47649,Europe,西班牙,Spain,西班牙,Spain,165,0.0,2,1,,,,,,,2020-03-04
48433,Europe,西班牙,Spain,西班牙,Spain,150,0.0,2,0,,,,,,,2020-03-03
50031,Europe,西班牙,Spain,西班牙,Spain,84,0.0,2,0,,,,,,,2020-03-02
51744,Europe,西班牙,Spain,西班牙,Spain,58,0.0,2,0,,,,,,,2020-03-01
52594,Europe,西班牙,Spain,西班牙,Spain,41,0.0,2,0,,,,,,,2020-02-29
54194,Europe,西班牙,Spain,西班牙,Spain,25,0.0,2,0,,,,,,,2020-02-28
54958,Europe,西班牙,Spain,西班牙,Spain,13,0.0,2,0,,,,,,,2020-02-27
56647,Europe,西班牙,Spain,西班牙,Spain,7,0.0,2,0,,,,,,,2020-02-26
58185,Europe,西班牙,Spain,西班牙,Spain,3,0.0,2,0,,,,,,,2020-02-25
63076,Europe,西班牙,Spain,西班牙,Spain,2,0.0,2,0,,,,,,,2020-02-22
64130,Europe,西班牙,Spain,西班牙,Spain,2,0.0,2,0,,,,,,,2020-02-21
65763,Europe,西班牙,Spain,西班牙,Spain,2,0.0,2,0,,,,,,,2020-02-20
66712,Europe,西班牙,Spain,西班牙,Spain,2,0.0,2,0,,,,,,,2020-02-19
72051,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-16
75111,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-15
77390,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-14
78239,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-13
80369,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-12
82671,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-11
84571,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,,2020-02-10
105832,Europe,西班牙,Spain,西班牙,Spain,7,0.0,0,0,,,,,,,2020-02-01
