,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
685,Africa,贝宁,Benin,贝宁,Benin,64,0.0,33,1,,,,,,,2020-04-29
1234,Africa,贝宁,Benin,贝宁,Benin,64,0.0,33,1,,,,,,,2020-04-28
2523,Africa,贝宁,Benin,贝宁,Benin,64,0.0,33,1,,,,,,,2020-04-27
3632,Africa,贝宁,Benin,贝宁,Benin,58,0.0,27,1,,,,,,,2020-04-26
4994,Africa,贝宁,Benin,贝宁,Benin,58,0.0,27,1,,,,,,,2020-04-25
8055,Africa,贝宁,Benin,贝宁,Benin,54,0.0,27,1,,,,,,,2020-04-23
9251,Africa,贝宁,Benin,贝宁,Benin,54,0.0,27,1,,,,,,,2020-04-22
11296,Africa,贝宁,Benin,贝宁,Benin,54,0.0,27,1,,,,,,,2020-04-21
12659,Africa,贝宁,Benin,贝宁,Benin,37,0.0,18,1,,,,,,,2020-04-20
14506,Africa,贝宁,Benin,贝宁,Benin,37,0.0,18,1,,,,,,,2020-04-19
14776,Africa,贝宁,Benin,贝宁,Benin,37,0.0,18,1,,,,,,,2020-04-18
16381,Africa,贝宁,Benin,贝宁,Benin,35,0.0,18,1,,,,,,,2020-04-17
17878,Africa,贝宁,Benin,贝宁,Benin,35,0.0,18,1,,,,,,,2020-04-16
19217,Africa,贝宁,Benin,贝宁,Benin,35,0.0,18,1,,,,,,,2020-04-15
20981,Africa,贝宁,Benin,贝宁,Benin,35,0.0,5,2,,,,,,,2020-04-14
22278,Africa,贝宁,Benin,贝宁,Benin,35,0.0,5,2,,,,,,,2020-04-13
23356,Africa,贝宁,Benin,贝宁,Benin,35,0.0,5,1,,,,,,,2020-04-12
24851,Africa,贝宁,Benin,贝宁,Benin,35,0.0,5,1,,,,,,,2020-04-11
26638,Africa,贝宁,Benin,贝宁,Benin,26,0.0,5,1,,,,,,,2020-04-10
27602,Africa,贝宁,Benin,贝宁,Benin,26,0.0,5,1,,,,,,,2020-04-09
29525,Africa,贝宁,Benin,贝宁,Benin,26,0.0,5,1,,,,,,,2020-04-08
31042,Africa,贝宁,Benin,贝宁,Benin,26,0.0,5,1,,,,,,,2020-04-07
33532,Africa,贝宁,Benin,贝宁,Benin,22,0.0,5,0,,,,,,,2020-04-06
35029,Africa,贝宁,Benin,贝宁,Benin,16,0.0,2,0,,,,,,,2020-04-05
37118,Africa,贝宁,Benin,贝宁,Benin,16,0.0,2,0,,,,,,,2020-04-04
38285,Africa,贝宁,Benin,贝宁,Benin,13,0.0,1,0,,,,,,,2020-04-03
40958,Africa,贝宁,Benin,贝宁,Benin,13,0.0,1,0,,,,,,,2020-04-02
42312,Africa,贝宁,Benin,贝宁,Benin,6,0.0,0,0,,,,,,,2020-04-01
44339,Africa,贝宁,Benin,贝宁,Benin,6,0.0,0,0,,,,,,,2020-03-31
46288,Africa,贝宁,Benin,贝宁,Benin,6,0.0,0,0,,,,,,,2020-03-30
49901,Africa,贝宁,Benin,贝宁,Benin,6,0.0,0,0,,,,,,,2020-03-29
51380,Africa,贝宁,Benin,贝宁,Benin,6,0.0,0,0,,,,,,,2020-03-28
53393,Africa,贝宁,Benin,贝宁,Benin,5,0.0,0,0,,,,,,,2020-03-27
55887,Africa,贝宁,Benin,贝宁,Benin,5,0.0,0,0,,,,,,,2020-03-26
60111,Africa,贝宁,Benin,贝宁,Benin,5,0.0,0,0,,,,,,,2020-03-25
61550,Africa,贝宁,Benin,贝宁,Benin,5,0.0,0,0,,,,,,,2020-03-24
64887,Africa,贝宁,Benin,贝宁,Benin,2,0.0,0,0,,,,,,,2020-03-23
67537,Africa,贝宁,Benin,贝宁,Benin,2,0.0,0,0,,,,,,,2020-03-22
68978,Africa,贝宁,Benin,贝宁,Benin,2,0.0,0,0,,,,,,,2020-03-21
69852,Africa,贝宁,Benin,贝宁,Benin,1,0.0,0,0,,,,,,,2020-03-20
71110,Africa,贝宁,Benin,贝宁,Benin,1,0.0,0,0,,,,,,,2020-03-19
73450,Africa,贝宁,Benin,贝宁,Benin,1,0.0,0,0,,,,,,,2020-03-18
