,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
140,Africa,赞比亚共和国,,赞比亚共和国,,95,0.0,42,3,,,,,,,2020-04-29
1224,Africa,赞比亚共和国,,赞比亚共和国,,95,0.0,42,3,,,,,,,2020-04-28
2331,Africa,赞比亚共和国,,赞比亚共和国,,89,0.0,42,3,,,,,,,2020-04-27
3628,Africa,赞比亚共和国,,赞比亚共和国,,88,0.0,42,3,,,,,,,2020-04-26
4987,Africa,赞比亚共和国,,赞比亚共和国,,84,0.0,42,3,,,,,,,2020-04-25
6468,Africa,赞比亚共和国,,赞比亚共和国,,84,0.0,37,3,,,,,,,2020-04-24
7766,Africa,赞比亚共和国,,赞比亚共和国,,76,0.0,37,3,,,,,,,2020-04-23
9242,Africa,赞比亚共和国,,赞比亚共和国,,74,0.0,35,3,,,,,,,2020-04-22
11295,Africa,赞比亚共和国,,赞比亚共和国,,65,0.0,35,3,,,,,,,2020-04-21
12284,Africa,赞比亚共和国,,赞比亚共和国,,65,0.0,35,3,,,,,,,2020-04-20
13587,Africa,赞比亚共和国,,赞比亚共和国,,61,0.0,33,3,,,,,,,2020-04-19
14617,Africa,赞比亚共和国,,赞比亚共和国,,57,0.0,33,2,,,,,,,2020-04-18
16036,Africa,赞比亚共和国,,赞比亚共和国,,52,0.0,30,2,,,,,,,2020-04-17
17877,Africa,赞比亚共和国,,赞比亚共和国,,48,0.0,30,2,,,,,,,2020-04-16
19216,Africa,赞比亚共和国,,赞比亚共和国,,48,0.0,30,2,,,,,,,2020-04-15
20997,Africa,赞比亚共和国,,赞比亚共和国,,45,0.0,30,2,,,,,,,2020-04-14
22122,Africa,赞比亚共和国,,赞比亚共和国,,45,0.0,30,2,,,,,,,2020-04-13
23378,Africa,赞比亚共和国,,赞比亚共和国,,43,0.0,30,2,,,,,,,2020-04-12
24672,Africa,赞比亚共和国,,赞比亚共和国,,40,0.0,28,2,,,,,,,2020-04-11
26220,Africa,赞比亚共和国,,赞比亚共和国,,40,0.0,25,2,,,,,,,2020-04-10
27330,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,24,1,,,,,,,2020-04-09
29517,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,7,1,,,,,,,2020-04-08
31033,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,5,1,,,,,,,2020-04-07
32957,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,5,1,,,,,,,2020-04-06
34664,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,3,1,,,,,,,2020-04-05
37098,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,2,1,,,,,,,2020-04-04
38259,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,0,1,,,,,,,2020-04-03
40594,Africa,赞比亚共和国,,赞比亚共和国,,39,0.0,0,1,,,,,,,2020-04-02
42267,Africa,赞比亚共和国,,赞比亚共和国,,36,0.0,0,0,,,,,,,2020-04-01
44167,Africa,赞比亚共和国,,赞比亚共和国,,36,0.0,0,0,,,,,,,2020-03-31
46243,Africa,赞比亚共和国,,赞比亚共和国,,35,0.0,0,0,,,,,,,2020-03-30
49164,Africa,赞比亚共和国,,赞比亚共和国,,29,0.0,0,0,,,,,,,2020-03-29
51109,Africa,赞比亚共和国,,赞比亚共和国,,28,0.0,0,0,,,,,,,2020-03-28
53198,Africa,赞比亚共和国,,赞比亚共和国,,22,0.0,0,0,,,,,,,2020-03-27
55873,Africa,赞比亚共和国,,赞比亚共和国,,12,0.0,0,0,,,,,,,2020-03-26
59956,Africa,赞比亚共和国,,赞比亚共和国,,12,0.0,0,0,,,,,,,2020-03-25
61560,Africa,赞比亚共和国,,赞比亚共和国,,3,0.0,0,0,,,,,,,2020-03-24
64877,Africa,赞比亚共和国,,赞比亚共和国,,3,0.0,0,0,,,,,,,2020-03-23
67347,Africa,赞比亚共和国,,赞比亚共和国,,3,0.0,0,0,,,,,,,2020-03-22
68980,Africa,赞比亚共和国,,赞比亚共和国,,2,0.0,0,0,,,,,,,2020-03-21
69843,Africa,赞比亚共和国,,赞比亚共和国,,2,0.0,0,0,,,,,,,2020-03-20
71093,Africa,赞比亚共和国,,赞比亚共和国,,2,0.0,0,0,,,,,,,2020-03-19
72924,Africa,赞比亚共和国,,赞比亚共和国,,2,0.0,0,0,,,,,,,2020-03-18
