,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
405,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,14,0.0,0,0,,,,,,,2020-03-31
2348,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,14,0.0,0,0,,,,,,,2020-03-30
5963,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,13,0.0,0,0,,,,,,,2020-03-29
7454,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,13,0.0,0,0,,,,,,,2020-03-28
9456,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,12,0.0,0,0,,,,,,,2020-03-27
11960,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,11,0.0,0,0,,,,,,,2020-03-26
16182,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,9,0.0,0,0,,,,,,,2020-03-25
17625,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,9,0.0,0,0,,,,,,,2020-03-24
20959,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,9,0.0,0,0,,,,,,,2020-03-23
23984,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,6,0.0,0,0,,,,,,,2020-03-22
25053,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,6,0.0,0,0,,,,,,,2020-03-21
25915,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,6,0.0,0,0,,,,,,,2020-03-20
27174,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,4,0.0,0,0,,,,,,,2020-03-19
29018,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,3,0.0,0,0,,,,,,,2020-03-18
31189,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,1,0.0,0,0,,,,,,,2020-03-17
33271,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,1,0.0,0,0,,,,,,,2020-03-16
34369,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,1,0.0,0,0,,,,,,,2020-03-15
