,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
324,Asia,越南,Vietnam,越南,Vietnam,212,0.0,58,0,,,,,,,2020-04-01
2238,Asia,越南,Vietnam,越南,Vietnam,207,0.0,52,0,,,,,,,2020-03-31
4171,Asia,越南,Vietnam,越南,Vietnam,203,0.0,52,0,,,,,,,2020-03-30
7100,Asia,越南,Vietnam,越南,Vietnam,188,0.0,25,0,,,,,,,2020-03-29
8985,Asia,越南,Vietnam,越南,Vietnam,174,0.0,21,0,,,,,,,2020-03-28
11212,Asia,越南,Vietnam,越南,Vietnam,163,0.0,20,0,,,,,,,2020-03-27
13797,Asia,越南,Vietnam,越南,Vietnam,153,0.0,17,0,,,,,,,2020-03-26
17857,Asia,越南,Vietnam,越南,Vietnam,141,0.0,17,0,,,,,,,2020-03-25
19579,Asia,越南,Vietnam,越南,Vietnam,123,0.0,17,0,,,,,,,2020-03-24
22909,Asia,越南,Vietnam,越南,Vietnam,123,0.0,17,0,,,,,,,2020-03-23
25448,Asia,越南,Vietnam,越南,Vietnam,99,0.0,17,0,,,,,,,2020-03-22
26855,Asia,越南,Vietnam,越南,Vietnam,94,0.0,17,0,,,,,,,2020-03-21
27869,Asia,越南,Vietnam,越南,Vietnam,87,0.0,17,0,,,,,,,2020-03-20
29127,Asia,越南,Vietnam,越南,Vietnam,75,0.0,16,0,,,,,,,2020-03-19
31007,Asia,越南,Vietnam,越南,Vietnam,68,0.0,16,0,,,,,,,2020-03-18
32839,Asia,越南,Vietnam,越南,Vietnam,66,0.0,16,0,,,,,,,2020-03-17
35206,Asia,越南,Vietnam,越南,Vietnam,57,0.0,16,0,,,,,,,2020-03-16
36302,Asia,越南,Vietnam,越南,Vietnam,53,0.0,16,0,,,,,,,2020-03-15
37395,Asia,越南,Vietnam,越南,Vietnam,53,0.0,16,0,,,,,,,2020-03-14
38327,Asia,越南,Vietnam,越南,Vietnam,47,0.0,16,0,,,,,,,2020-03-13
39221,Asia,越南,Vietnam,越南,Vietnam,44,0.0,16,0,,,,,,,2020-03-12
40310,Asia,越南,Vietnam,越南,Vietnam,35,0.0,16,0,,,,,,,2020-03-11
41242,Asia,越南,Vietnam,越南,Vietnam,34,0.0,16,0,,,,,,,2020-03-10
42828,Asia,越南,Vietnam,越南,Vietnam,21,0.0,16,0,,,,,,,2020-03-09
43351,Asia,越南,Vietnam,越南,Vietnam,21,0.0,16,0,,,,,,,2020-03-08
44417,Asia,越南,Vietnam,越南,Vietnam,18,0.0,16,0,,,,,,,2020-03-07
45719,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-03-06
47067,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-03-05
49443,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-03-03
50943,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-03-02
51789,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-03-01
52633,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-02-29
54581,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-02-28
55777,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-02-27
56655,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-02-26
57539,Asia,越南,Vietnam,越南,Vietnam,16,0.0,16,0,,,,,,,2020-02-25
61447,Asia,越南,Vietnam,越南,Vietnam,16,0.0,14,0,,,,,,,2020-02-23
62680,Asia,越南,Vietnam,越南,Vietnam,16,0.0,14,0,,,,,,,2020-02-22
63795,Asia,越南,Vietnam,越南,Vietnam,16,0.0,14,0,,,,,,,2020-02-21
66162,Asia,越南,Vietnam,越南,Vietnam,16,0.0,7,0,,,,,,,2020-02-20
71960,Asia,越南,Vietnam,越南,Vietnam,16,0.0,7,0,,,,,,,2020-02-17
72045,Asia,越南,Vietnam,越南,Vietnam,16,0.0,7,0,,,,,,,2020-02-16
73980,Asia,越南,Vietnam,越南,Vietnam,16,0.0,7,0,,,,,,,2020-02-15
75957,Asia,越南,Vietnam,越南,Vietnam,16,0.0,7,0,,,,,,,2020-02-14
77490,Asia,越南,Vietnam,越南,Vietnam,16,0.0,3,0,,,,,,,2020-02-13
80358,Asia,越南,Vietnam,越南,Vietnam,15,0.0,3,0,,,,,,,2020-02-12
82659,Asia,越南,Vietnam,越南,Vietnam,15,0.0,1,0,,,,,,,2020-02-11
84560,Asia,越南,Vietnam,越南,Vietnam,14,0.0,1,0,,,,,,,2020-02-10
90298,Asia,越南,Vietnam,越南,Vietnam,13,0.0,1,0,,,,,,,2020-02-08
99624,Asia,越南,Vietnam,越南,Vietnam,10,0.0,1,0,,,,,,,2020-02-04
104909,Asia,越南,Vietnam,越南,Vietnam,6,0.0,1,0,,,,,,,2020-02-01
110756,,越南,Vietnam,越南,Vietnam,2,0.0,0,0,,,,,,,2020-01-27
