,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
15,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,174,0.0,0,4,,,,,,,2020-04-01
226,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,174,0.0,0,4,,,,,,,2020-03-31
2291,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,145,0.0,0,4,,,,,,,2020-03-30
5115,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,117,0.0,0,2,,,,,,,2020-03-29
6984,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,110,0.0,0,2,,,,,,,2020-03-28
9410,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,95,0.0,0,2,,,,,,,2020-03-27
11916,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,84,0.0,0,2,,,,,,,2020-03-26
16136,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,79,0.0,0,2,,,,,,,2020-03-25
17595,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,42,0.0,0,1,,,,,,,2020-03-24
20926,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,40,0.0,0,0,,,,,,,2020-03-23
23585,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,34,0.0,0,0,,,,,,,2020-03-22
25024,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,24,0.0,0,0,,,,,,,2020-03-21
25888,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,24,0.0,0,0,,,,,,,2020-03-20
27144,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,22,0.0,0,0,,,,,,,2020-03-19
29478,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,22,0.0,0,0,,,,,,,2020-03-18
31132,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,22,0.0,0,0,,,,,,,2020-03-17
33217,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,16,0.0,0,0,,,,,,,2020-03-16
34314,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,16,0.0,0,0,,,,,,,2020-03-15
35427,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,10,0.0,0,0,,,,,,,2020-03-14
36599,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,7,0.0,0,0,,,,,,,2020-03-13
37533,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,7,0.0,0,0,,,,,,,2020-03-12
38312,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,7,0.0,0,0,,,,,,,2020-03-11
39235,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,5,0.0,0,0,,,,,,,2020-03-10
40824,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,4,0.0,0,0,,,,,,,2020-03-09
41345,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,4,0.0,0,0,,,,,,,2020-03-08
45036,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-03-05
47417,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-03-03
48918,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-03-02
49765,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-03-01
50612,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-29
52681,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-28
53860,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-27
54867,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-26
56177,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-25
56802,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,1,0.0,0,0,,,,,,,2020-02-24
