,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
82,Asia,阿曼,Oman,阿曼,Oman,210,0.0,34,1,,,,,,,2020-04-01
2240,Asia,阿曼,Oman,阿曼,Oman,179,0.0,29,0,,,,,,,2020-03-31
4172,Asia,阿曼,Oman,阿曼,Oman,179,0.0,29,0,,,,,,,2020-03-30
7347,Asia,阿曼,Oman,阿曼,Oman,167,0.0,23,0,,,,,,,2020-03-29
8990,Asia,阿曼,Oman,阿曼,Oman,152,0.0,23,0,,,,,,,2020-03-28
11219,Asia,阿曼,Oman,阿曼,Oman,131,0.0,23,0,,,,,,,2020-03-27
13923,Asia,阿曼,Oman,阿曼,Oman,109,0.0,23,0,,,,,,,2020-03-26
18142,Asia,阿曼,Oman,阿曼,Oman,99,0.0,17,0,,,,,,,2020-03-25
19591,Asia,阿曼,Oman,阿曼,Oman,84,0.0,17,0,,,,,,,2020-03-24
22931,Asia,阿曼,Oman,阿曼,Oman,66,0.0,17,0,,,,,,,2020-03-23
25593,Asia,阿曼,Oman,阿曼,Oman,55,0.0,17,0,,,,,,,2020-03-22
27023,Asia,阿曼,Oman,阿曼,Oman,52,0.0,13,0,,,,,,,2020-03-21
27889,Asia,阿曼,Oman,阿曼,Oman,48,0.0,13,0,,,,,,,2020-03-20
29148,Asia,阿曼,Oman,阿曼,Oman,39,0.0,12,0,,,,,,,2020-03-19
31489,Asia,阿曼,Oman,阿曼,Oman,33,0.0,12,0,,,,,,,2020-03-18
32844,Asia,阿曼,Oman,阿曼,Oman,24,0.0,12,0,,,,,,,2020-03-17
35229,Asia,阿曼,Oman,阿曼,Oman,22,0.0,9,0,,,,,,,2020-03-16
36209,Asia,阿曼,Oman,阿曼,Oman,21,0.0,9,0,,,,,,,2020-03-15
37508,Asia,阿曼,Oman,阿曼,Oman,20,0.0,9,0,,,,,,,2020-03-14
38591,Asia,阿曼,Oman,阿曼,Oman,19,0.0,2,0,,,,,,,2020-03-13
39529,Asia,阿曼,Oman,阿曼,Oman,18,0.0,2,0,,,,,,,2020-03-12
40315,Asia,阿曼,Oman,阿曼,Oman,18,0.0,2,0,,,,,,,2020-03-11
41294,Asia,阿曼,Oman,阿曼,Oman,16,0.0,2,0,,,,,,,2020-03-10
42864,Asia,阿曼,Oman,阿曼,Oman,16,0.0,2,0,,,,,,,2020-03-09
44107,Asia,阿曼,Oman,阿曼,Oman,16,0.0,2,0,,,,,,,2020-03-08
44541,Asia,阿曼,Oman,阿曼,Oman,16,0.0,2,0,,,,,,,2020-03-07
45357,Asia,阿曼,Oman,阿曼,Oman,16,0.0,2,0,,,,,,,2020-03-06
46300,Asia,阿曼,Oman,阿曼,Oman,15,0.0,2,0,,,,,,,2020-03-05
47666,Asia,阿曼,Oman,阿曼,Oman,12,0.0,2,0,,,,,,,2020-03-04
48438,Asia,阿曼,Oman,阿曼,Oman,12,0.0,2,0,,,,,,,2020-03-03
50915,Asia,阿曼,Oman,阿曼,Oman,6,0.0,1,0,,,,,,,2020-03-02
51762,Asia,阿曼,Oman,阿曼,Oman,6,0.0,1,0,,,,,,,2020-03-01
52449,Asia,阿曼,Oman,阿曼,Oman,6,0.0,1,0,,,,,,,2020-02-29
54202,Asia,阿曼,Oman,阿曼,Oman,6,0.0,0,0,,,,,,,2020-02-28
54964,Asia,阿曼,Oman,阿曼,Oman,4,0.0,0,0,,,,,,,2020-02-27
56650,Asia,阿曼,Oman,阿曼,Oman,2,0.0,0,0,,,,,,,2020-02-26
58184,Asia,阿曼,Oman,阿曼,Oman,2,0.0,0,0,,,,,,,2020-02-25
