,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
73,South America,阿根廷,Argentina,阿根廷,Argentina,966,0.0,1,80,,,,,,,2020-04-01
185,South America,阿根廷,Argentina,阿根廷,Argentina,966,0.0,1,80,,,,,,,2020-03-31
2246,South America,阿根廷,Argentina,阿根廷,Argentina,820,0.0,1,80,,,,,,,2020-03-30
5107,South America,阿根廷,Argentina,阿根廷,Argentina,745,0.0,1,19,,,,,,,2020-03-29
7372,South America,阿根廷,Argentina,阿根廷,Argentina,690,0.0,1,17,,,,,,,2020-03-28
9193,South America,阿根廷,Argentina,阿根廷,Argentina,589,0.0,1,12,,,,,,,2020-03-27
11866,South America,阿根廷,Argentina,阿根廷,Argentina,502,0.0,1,8,,,,,,,2020-03-26
15821,South America,阿根廷,Argentina,阿根廷,Argentina,387,0.0,1,6,,,,,,,2020-03-25
17540,South America,阿根廷,Argentina,阿根廷,Argentina,301,0.0,1,4,,,,,,,2020-03-24
20874,South America,阿根廷,Argentina,阿根廷,Argentina,266,0.0,1,4,,,,,,,2020-03-23
23539,South America,阿根廷,Argentina,阿根廷,Argentina,225,0.0,1,4,,,,,,,2020-03-22
24976,South America,阿根廷,Argentina,阿根廷,Argentina,158,0.0,1,3,,,,,,,2020-03-21
25846,South America,阿根廷,Argentina,阿根廷,Argentina,128,0.0,1,3,,,,,,,2020-03-20
27107,South America,阿根廷,Argentina,阿根廷,Argentina,97,0.0,1,2,,,,,,,2020-03-19
28994,South America,阿根廷,Argentina,阿根廷,Argentina,79,0.0,1,2,,,,,,,2020-03-18
30827,South America,阿根廷,Argentina,阿根廷,Argentina,65,0.0,1,2,,,,,,,2020-03-17
33188,South America,阿根廷,Argentina,阿根廷,Argentina,56,0.0,1,2,,,,,,,2020-03-16
34289,South America,阿根廷,Argentina,阿根廷,Argentina,45,0.0,1,2,,,,,,,2020-03-15
35421,South America,阿根廷,Argentina,阿根廷,Argentina,34,0.0,1,2,,,,,,,2020-03-14
36572,South America,阿根廷,Argentina,阿根廷,Argentina,31,0.0,0,1,,,,,,,2020-03-13
37517,South America,阿根廷,Argentina,阿根廷,Argentina,19,0.0,0,1,,,,,,,2020-03-12
38302,South America,阿根廷,Argentina,阿根廷,Argentina,19,0.0,0,1,,,,,,,2020-03-11
39283,South America,阿根廷,Argentina,阿根廷,Argentina,17,0.0,0,1,,,,,,,2020-03-10
40569,South America,阿根廷,Argentina,阿根廷,Argentina,12,0.0,0,1,,,,,,,2020-03-09
41335,South America,阿根廷,Argentina,阿根廷,Argentina,9,0.0,0,1,,,,,,,2020-03-08
42399,South America,阿根廷,Argentina,阿根廷,Argentina,8,0.0,0,0,,,,,,,2020-03-07
43362,South America,阿根廷,Argentina,阿根廷,Argentina,2,0.0,0,0,,,,,,,2020-03-06
44905,South America,阿根廷,Argentina,阿根廷,Argentina,1,0.0,0,0,,,,,,,2020-03-05
45670,South America,阿根廷,Argentina,阿根廷,Argentina,1,0.0,0,0,,,,,,,2020-03-04
