,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
3,Asia,韩国,Korea,韩国,Korea,9887,0.0,5567,165,,,,,,,2020-04-02
59,Asia,韩国,Korea,韩国,Korea,9887,0.0,5567,165,,,,,,,2020-04-01
2167,Asia,韩国,Korea,韩国,Korea,9786,0.0,5408,162,,,,,,,2020-03-31
4127,Asia,韩国,Korea,韩国,Korea,9661,0.0,5228,158,,,,,,,2020-03-30
7111,Asia,韩国,Korea,韩国,Korea,9583,0.0,5033,152,,,,,,,2020-03-29
8929,Asia,韩国,Korea,韩国,Korea,9478,0.0,4811,144,,,,,,,2020-03-28
11334,Asia,韩国,Korea,韩国,Korea,9332,0.0,4528,139,,,,,,,2020-03-27
13842,Asia,韩国,Korea,韩国,Korea,9241,0.0,4144,131,,,,,,,2020-03-26
18062,Asia,韩国,Korea,韩国,Korea,9137,0.0,3730,126,,,,,,,2020-03-25
19507,Asia,韩国,Korea,韩国,Korea,9037,0.0,3507,120,,,,,,,2020-03-24
22842,Asia,韩国,Korea,韩国,Korea,8961,0.0,3166,111,,,,,,,2020-03-23
25506,Asia,韩国,Korea,韩国,Korea,8897,0.0,2909,104,,,,,,,2020-03-22
26938,Asia,韩国,Korea,韩国,Korea,8799,0.0,2612,102,,,,,,,2020-03-21
27805,Asia,韩国,Korea,韩国,Korea,8652,0.0,2233,100,,,,,,,2020-03-20
29064,Asia,韩国,Korea,韩国,Korea,8565,0.0,1947,91,,,,,,,2020-03-19
30971,Asia,韩国,Korea,韩国,Korea,8413,0.0,1540,84,,,,,,,2020-03-18
32813,Asia,韩国,Korea,韩国,Korea,8320,0.0,1401,81,,,,,,,2020-03-17
35147,Asia,韩国,Korea,韩国,Korea,8236,0.0,1137,75,,,,,,,2020-03-16
36248,Asia,韩国,Korea,韩国,Korea,8162,0.0,834,75,,,,,,,2020-03-15
37456,Asia,韩国,Korea,韩国,Korea,8086,0.0,510,72,,,,,,,2020-03-14
38379,Asia,韩国,Korea,韩国,Korea,7979,0.0,510,72,,,,,,,2020-03-13
39254,Asia,韩国,Korea,韩国,Korea,7869,0.0,288,61,,,,,,,2020-03-12
40276,Asia,韩国,Korea,韩国,Korea,7755,0.0,288,61,,,,,,,2020-03-11
41248,Asia,韩国,Korea,韩国,Korea,7513,0.0,247,54,,,,,,,2020-03-10
42552,Asia,韩国,Korea,韩国,Korea,7478,0.0,166,53,,,,,,,2020-03-09
43252,Asia,韩国,Korea,韩国,Korea,7314,0.0,108,50,,,,,,,2020-03-08
44367,Asia,韩国,Korea,韩国,Korea,7041,0.0,108,47,,,,,,,2020-03-07
45334,Asia,韩国,Korea,韩国,Korea,6593,0.0,41,42,,,,,,,2020-03-06
46283,Asia,韩国,Korea,韩国,Korea,6088,0.0,41,36,,,,,,,2020-03-05
47643,Asia,韩国,Korea,韩国,Korea,5621,0.0,41,33,,,,,,,2020-03-04
48670,Asia,韩国,Korea,韩国,Korea,5186,0.0,30,31,,,,,,,2020-03-03
50028,Asia,韩国,Korea,韩国,Korea,4335,0.0,30,22,,,,,,,2020-03-02
51736,Asia,韩国,Korea,韩国,Korea,3526,0.0,30,17,,,,,,,2020-03-01
52585,Asia,韩国,Korea,韩国,Korea,3150,0.0,27,16,,,,,,,2020-02-29
53677,Asia,韩国,Korea,韩国,Korea,2337,0.0,22,13,,,,,,,2020-02-28
54948,Asia,韩国,Korea,韩国,Korea,1766,0.0,22,13,,,,,,,2020-02-27
56093,Asia,韩国,Korea,韩国,Korea,1261,0.0,22,12,,,,,,,2020-02-26
57531,Asia,韩国,Korea,韩国,Korea,977,0.0,22,10,,,,,,,2020-02-25
