,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
117,Asia,马尔代夫,Maldives,马尔代夫,Maldives,250,0.0,17,0,,,,,,,2020-04-29
1186,Asia,马尔代夫,Maldives,马尔代夫,Maldives,245,0.0,17,0,,,,,,,2020-04-28
2357,Asia,马尔代夫,Maldives,马尔代夫,Maldives,214,0.0,17,0,,,,,,,2020-04-27
3607,Asia,马尔代夫,Maldives,马尔代夫,Maldives,141,0.0,16,0,,,,,,,2020-04-26
4959,Asia,马尔代夫,Maldives,马尔代夫,Maldives,137,0.0,16,0,,,,,,,2020-04-25
6465,Asia,马尔代夫,Maldives,马尔代夫,Maldives,116,0.0,16,0,,,,,,,2020-04-24
7847,Asia,马尔代夫,Maldives,马尔代夫,Maldives,94,0.0,16,0,,,,,,,2020-04-23
9230,Asia,马尔代夫,Maldives,马尔代夫,Maldives,85,0.0,16,0,,,,,,,2020-04-22
11290,Asia,马尔代夫,Maldives,马尔代夫,Maldives,67,0.0,16,0,,,,,,,2020-04-21
12257,Asia,马尔代夫,Maldives,马尔代夫,Maldives,67,0.0,16,0,,,,,,,2020-04-20
13392,Asia,马尔代夫,Maldives,马尔代夫,Maldives,51,0.0,16,0,,,,,,,2020-04-19
14570,Asia,马尔代夫,Maldives,马尔代夫,Maldives,34,0.0,16,0,,,,,,,2020-04-18
15849,Asia,马尔代夫,Maldives,马尔代夫,Maldives,28,0.0,16,0,,,,,,,2020-04-17
17888,Asia,马尔代夫,Maldives,马尔代夫,Maldives,23,0.0,16,0,,,,,,,2020-04-16
20260,Asia,马尔代夫,Maldives,马尔代夫,Maldives,20,0.0,14,0,,,,,,,2020-04-15
21010,Asia,马尔代夫,Maldives,马尔代夫,Maldives,20,0.0,14,0,,,,,,,2020-04-14
22290,Asia,马尔代夫,Maldives,马尔代夫,Maldives,20,0.0,14,0,,,,,,,2020-04-13
23394,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-12
26674,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-10
27914,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-09
29559,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-08
31330,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-07
33783,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-06
35052,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-05
37134,Asia,马尔代夫,Maldives,马尔代夫,Maldives,19,0.0,13,0,,,,,,,2020-04-04
38303,Asia,马尔代夫,Maldives,马尔代夫,Maldives,18,0.0,13,0,,,,,,,2020-04-03
40984,Asia,马尔代夫,Maldives,马尔代夫,Maldives,18,0.0,13,0,,,,,,,2020-04-02
42314,Asia,马尔代夫,Maldives,马尔代夫,Maldives,18,0.0,13,0,,,,,,,2020-04-01
44340,Asia,马尔代夫,Maldives,马尔代夫,Maldives,18,0.0,13,0,,,,,,,2020-03-31
46282,Asia,马尔代夫,Maldives,马尔代夫,Maldives,17,0.0,11,0,,,,,,,2020-03-30
51550,Asia,马尔代夫,Maldives,马尔代夫,Maldives,13,0.0,0,0,,,,,,,2020-03-28
53367,Asia,马尔代夫,Maldives,马尔代夫,Maldives,13,0.0,0,0,,,,,,,2020-03-27
