,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
359,Europe,马恩岛,,马恩岛,,42,0.0,0,0,,,,,,,2020-04-01
2389,Europe,马恩岛,,马恩岛,,42,0.0,0,0,,,,,,,2020-03-31
4340,Europe,马恩岛,,马恩岛,,32,0.0,0,0,,,,,,,2020-03-30
7958,Europe,马恩岛,,马恩岛,,29,0.0,0,0,,,,,,,2020-03-29
9457,Europe,马恩岛,,马恩岛,,26,0.0,0,0,,,,,,,2020-03-28
11451,Europe,马恩岛,,马恩岛,,23,0.0,0,0,,,,,,,2020-03-27
13956,Europe,马恩岛,,马恩岛,,23,0.0,0,0,,,,,,,2020-03-26
18187,Europe,马恩岛,,马恩岛,,13,0.0,0,0,,,,,,,2020-03-25
19669,Europe,马恩岛,,马恩岛,,2,0.0,0,0,,,,,,,2020-03-24
23000,Europe,马恩岛,,马恩岛,,2,0.0,0,0,,,,,,,2020-03-23
25652,Europe,马恩岛,,马恩岛,,1,0.0,0,0,,,,,,,2020-03-22
27108,Europe,马恩岛,,马恩岛,,1,0.0,0,0,,,,,,,2020-03-21
27968,Europe,马恩岛,,马恩岛,,1,0.0,0,0,,,,,,,2020-03-20
