,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
686,Africa,马拉维,Malawi,马拉维,Malawi,36,0.0,4,3,,,,,,,2020-04-29
1235,Africa,马拉维,Malawi,马拉维,Malawi,36,0.0,4,3,,,,,,,2020-04-28
2332,Africa,马拉维,Malawi,马拉维,Malawi,36,0.0,4,3,,,,,,,2020-04-27
3881,Africa,马拉维,Malawi,马拉维,Malawi,33,0.0,3,3,,,,,,,2020-04-26
4997,Africa,马拉维,Malawi,马拉维,Malawi,33,0.0,3,3,,,,,,,2020-04-25
6625,Africa,马拉维,Malawi,马拉维,Malawi,33,0.0,3,3,,,,,,,2020-04-24
7852,Africa,马拉维,Malawi,马拉维,Malawi,33,0.0,3,3,,,,,,,2020-04-23
9258,Africa,马拉维,Malawi,马拉维,Malawi,23,0.0,3,2,,,,,,,2020-04-22
11875,Africa,马拉维,Malawi,马拉维,Malawi,17,0.0,0,2,,,,,,,2020-04-21
12665,Africa,马拉维,Malawi,马拉维,Malawi,17,0.0,0,2,,,,,,,2020-04-20
13592,Africa,马拉维,Malawi,马拉维,Malawi,17,0.0,0,2,,,,,,,2020-04-19
16388,Africa,马拉维,Malawi,马拉维,Malawi,16,0.0,0,2,,,,,,,2020-04-17
20239,Africa,马拉维,Malawi,马拉维,Malawi,16,0.0,0,2,,,,,,,2020-04-15
20995,Africa,马拉维,Malawi,马拉维,Malawi,16,0.0,0,2,,,,,,,2020-04-14
22030,Africa,马拉维,Malawi,马拉维,Malawi,16,0.0,0,2,,,,,,,2020-04-13
23386,Africa,马拉维,Malawi,马拉维,Malawi,12,0.0,0,2,,,,,,,2020-04-12
24863,Africa,马拉维,Malawi,马拉维,Malawi,9,0.0,0,1,,,,,,,2020-04-11
26140,Africa,马拉维,Malawi,马拉维,Malawi,9,0.0,0,1,,,,,,,2020-04-10
27628,Africa,马拉维,Malawi,马拉维,Malawi,8,0.0,0,1,,,,,,,2020-04-09
29556,Africa,马拉维,Malawi,马拉维,Malawi,8,0.0,0,1,,,,,,,2020-04-08
31059,Africa,马拉维,Malawi,马拉维,Malawi,8,0.0,0,1,,,,,,,2020-04-07
32870,Africa,马拉维,Malawi,马拉维,Malawi,5,0.0,0,0,,,,,,,2020-04-06
35063,Africa,马拉维,Malawi,马拉维,Malawi,4,0.0,0,0,,,,,,,2020-04-05
36672,Africa,马拉维,Malawi,马拉维,Malawi,4,0.0,0,0,,,,,,,2020-04-04
38316,Africa,马拉维,Malawi,马拉维,Malawi,3,0.0,0,0,,,,,,,2020-04-03
