,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
18,North America,马提尼克,Martinique,马提尼克,Martinique,105,0.0,0,2,,,,,,,2020-04-01
244,North America,马提尼克,Martinique,马提尼克,Martinique,105,0.0,0,2,,,,,,,2020-03-31
2303,North America,马提尼克,Martinique,马提尼克,Martinique,93,0.0,0,1,,,,,,,2020-03-30
5922,North America,马提尼克,Martinique,马提尼克,Martinique,93,0.0,0,1,,,,,,,2020-03-29
7603,North America,马提尼克,Martinique,马提尼克,Martinique,66,0.0,0,1,,,,,,,2020-03-28
9418,North America,马提尼克,Martinique,马提尼克,Martinique,66,0.0,0,1,,,,,,,2020-03-27
11925,North America,马提尼克,Martinique,马提尼克,Martinique,57,0.0,0,0,,,,,,,2020-03-26
16145,North America,马提尼克,Martinique,马提尼克,Martinique,53,0.0,0,0,,,,,,,2020-03-25
17599,North America,马提尼克,Martinique,马提尼克,Martinique,32,0.0,0,0,,,,,,,2020-03-24
20929,North America,马提尼克,Martinique,马提尼克,Martinique,32,0.0,0,0,,,,,,,2020-03-23
23589,North America,马提尼克,Martinique,马提尼克,Martinique,32,0.0,0,0,,,,,,,2020-03-22
25021,North America,马提尼克,Martinique,马提尼克,Martinique,32,0.0,0,0,,,,,,,2020-03-21
25891,North America,马提尼克,Martinique,马提尼克,Martinique,23,0.0,0,0,,,,,,,2020-03-20
27147,North America,马提尼克,Martinique,马提尼克,Martinique,16,0.0,0,0,,,,,,,2020-03-19
29486,North America,马提尼克,Martinique,马提尼克,Martinique,16,0.0,0,0,,,,,,,2020-03-18
30890,North America,马提尼克,Martinique,马提尼克,Martinique,15,0.0,0,0,,,,,,,2020-03-17
33243,North America,马提尼克,Martinique,马提尼克,Martinique,3,0.0,0,0,,,,,,,2020-03-16
34338,North America,马提尼克,Martinique,马提尼克,Martinique,3,0.0,0,0,,,,,,,2020-03-15
35435,North America,马提尼克,Martinique,马提尼克,Martinique,3,0.0,0,0,,,,,,,2020-03-14
36359,North America,马提尼克,Martinique,马提尼克,Martinique,3,0.0,0,0,,,,,,,2020-03-13
