,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
28,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2766,0.0,537,43,,,,,,,2020-04-01
166,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2766,0.0,537,43,,,,,,,2020-03-31
2123,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2626,0.0,388,34,,,,,,,2020-03-30
5080,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2470,0.0,388,34,,,,,,,2020-03-29
6928,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2320,0.0,320,27,,,,,,,2020-03-28
9213,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2161,0.0,259,26,,,,,,,2020-03-27
11747,Asia,马来西亚,Malaysia,马来西亚,Malaysia,2031,0.0,215,23,,,,,,,2020-03-26
15800,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1796,0.0,199,19,,,,,,,2020-03-25
17512,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1624,0.0,183,15,,,,,,,2020-03-24
20845,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1518,0.0,139,14,,,,,,,2020-03-23
23507,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1306,0.0,139,10,,,,,,,2020-03-22
24850,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1183,0.0,114,4,,,,,,,2020-03-21
25805,Asia,马来西亚,Malaysia,马来西亚,Malaysia,1030,0.0,87,3,,,,,,,2020-03-20
27064,Asia,马来西亚,Malaysia,马来西亚,Malaysia,900,0.0,60,2,,,,,,,2020-03-19
28966,Asia,马来西亚,Malaysia,马来西亚,Malaysia,790,0.0,60,2,,,,,,,2020-03-18
30811,Asia,马来西亚,Malaysia,马来西亚,Malaysia,673,0.0,49,2,,,,,,,2020-03-17
32999,Asia,马来西亚,Malaysia,马来西亚,Malaysia,428,0.0,42,0,,,,,,,2020-03-16
34253,Asia,马来西亚,Malaysia,马来西亚,Malaysia,428,0.0,32,0,,,,,,,2020-03-15
35382,Asia,马来西亚,Malaysia,马来西亚,Malaysia,238,0.0,32,0,,,,,,,2020-03-14
36542,Asia,马来西亚,Malaysia,马来西亚,Malaysia,158,0.0,32,0,,,,,,,2020-03-13
37206,Asia,马来西亚,Malaysia,马来西亚,Malaysia,158,0.0,32,0,,,,,,,2020-03-12
38574,Asia,马来西亚,Malaysia,马来西亚,Malaysia,129,0.0,23,0,,,,,,,2020-03-11
39189,Asia,马来西亚,Malaysia,马来西亚,Malaysia,129,0.0,23,0,,,,,,,2020-03-10
40476,Asia,马来西亚,Malaysia,马来西亚,Malaysia,117,0.0,23,0,,,,,,,2020-03-09
41313,Asia,马来西亚,Malaysia,马来西亚,Malaysia,93,0.0,23,0,,,,,,,2020-03-08
42372,Asia,马来西亚,Malaysia,马来西亚,Malaysia,83,0.0,23,0,,,,,,,2020-03-07
43341,Asia,马来西亚,Malaysia,马来西亚,Malaysia,55,0.0,22,0,,,,,,,2020-03-06
44880,Asia,马来西亚,Malaysia,马来西亚,Malaysia,50,0.0,22,0,,,,,,,2020-03-05
45649,Asia,马来西亚,Malaysia,马来西亚,Malaysia,50,0.0,22,0,,,,,,,2020-03-04
46540,Asia,马来西亚,Malaysia,马来西亚,Malaysia,36,0.0,22,0,,,,,,,2020-03-03
48477,Asia,马来西亚,Malaysia,马来西亚,Malaysia,29,0.0,18,0,,,,,,,2020-03-02
49124,Asia,马来西亚,Malaysia,马来西亚,Malaysia,29,0.0,18,0,,,,,,,2020-03-01
50597,Asia,马来西亚,Malaysia,马来西亚,Malaysia,25,0.0,18,0,,,,,,,2020-02-29
52195,Asia,马来西亚,Malaysia,马来西亚,Malaysia,23,0.0,18,0,,,,,,,2020-02-28
52693,Asia,马来西亚,Malaysia,马来西亚,Malaysia,23,0.0,18,0,,,,,,,2020-02-27
54857,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,18,0,,,,,,,2020-02-26
56171,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,18,0,,,,,,,2020-02-25
56894,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,18,0,,,,,,,2020-02-24
61062,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,15,0,,,,,,,2020-02-22
62117,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,15,0,,,,,,,2020-02-21
63751,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,15,0,,,,,,,2020-02-20
64700,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,15,0,,,,,,,2020-02-19
67933,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,7,0,,,,,,,2020-02-18
68863,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,7,0,,,,,,,2020-02-17
70033,Asia,马来西亚,Malaysia,马来西亚,Malaysia,22,0.0,7,0,,,,,,,2020-02-16
73091,Asia,马来西亚,Malaysia,马来西亚,Malaysia,19,0.0,3,0,,,,,,,2020-02-15
73945,Asia,马来西亚,Malaysia,马来西亚,Malaysia,19,0.0,3,0,,,,,,,2020-02-14
76217,Asia,马来西亚,Malaysia,马来西亚,Malaysia,19,0.0,3,0,,,,,,,2020-02-13
78347,Asia,马来西亚,Malaysia,马来西亚,Malaysia,18,0.0,3,0,,,,,,,2020-02-12
