,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
344,Africa,马约特,,马约特,,82,0.0,0,0,,,,,,,2020-04-01
2375,Africa,马约特,,马约特,,82,0.0,0,0,,,,,,,2020-03-31
4331,Africa,马约特,,马约特,,50,0.0,0,0,,,,,,,2020-03-30
7949,Africa,马约特,,马约特,,50,0.0,0,0,,,,,,,2020-03-29
9448,Africa,马约特,,马约特,,50,0.0,0,0,,,,,,,2020-03-28
11441,Africa,马约特,,马约特,,35,0.0,0,0,,,,,,,2020-03-27
13949,Africa,马约特,,马约特,,30,0.0,0,0,,,,,,,2020-03-26
18173,Africa,马约特,,马约特,,24,0.0,0,0,,,,,,,2020-03-25
19629,Africa,马约特,,马约特,,14,0.0,0,0,,,,,,,2020-03-24
22964,Africa,马约特,,马约特,,11,0.0,0,0,,,,,,,2020-03-23
25636,Africa,马约特,,马约特,,4,0.0,0,0,,,,,,,2020-03-22
27069,Africa,马约特,,马约特,,4,0.0,0,0,,,,,,,2020-03-21
27940,Africa,马约特,,马约特,,3,0.0,0,0,,,,,,,2020-03-20
29216,Africa,马约特,,马约特,,1,0.0,0,0,,,,,,,2020-03-19
31555,Africa,马约特,,马约特,,1,0.0,0,0,,,,,,,2020-03-18
32930,Africa,马约特,,马约特,,1,0.0,0,0,,,,,,,2020-03-17
34875,Africa,马约特,,马约特,,1,0.0,0,0,,,,,,,2020-03-16
