,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
111,Africa,马里,Mali,马里,Mali,424,0.0,122,24,,,,,,,2020-04-29
906,Africa,马里,Mali,马里,Mali,389,0.0,112,23,,,,,,,2020-04-28
2322,Africa,马里,Mali,马里,Mali,389,0.0,112,21,,,,,,,2020-04-27
3584,Africa,马里,Mali,马里,Mali,370,0.0,91,21,,,,,,,2020-04-26
4943,Africa,马里,Mali,马里,Mali,325,0.0,87,21,,,,,,,2020-04-25
6586,Africa,马里,Mali,马里,Mali,310,0.0,77,21,,,,,,,2020-04-24
7841,Africa,马里,Mali,马里,Mali,258,0.0,57,14,,,,,,,2020-04-23
9204,Africa,马里,Mali,马里,Mali,258,0.0,57,14,,,,,,,2020-04-22
10840,Africa,马里,Mali,马里,Mali,246,0.0,56,14,,,,,,,2020-04-21
12600,Africa,马里,Mali,马里,Mali,224,0.0,42,14,,,,,,,2020-04-20
13357,Africa,马里,Mali,马里,Mali,216,0.0,41,13,,,,,,,2020-04-19
14735,Africa,马里,Mali,马里,Mali,190,0.0,34,13,,,,,,,2020-04-18
16011,Africa,马里,Mali,马里,Mali,171,0.0,34,13,,,,,,,2020-04-17
17686,Africa,马里,Mali,马里,Mali,148,0.0,34,13,,,,,,,2020-04-16
19189,Africa,马里,Mali,马里,Mali,144,0.0,34,13,,,,,,,2020-04-15
20955,Africa,马里,Mali,马里,Mali,123,0.0,26,10,,,,,,,2020-04-14
22004,Africa,马里,Mali,马里,Mali,123,0.0,26,10,,,,,,,2020-04-13
23151,Africa,马里,Mali,马里,Mali,116,0.0,25,9,,,,,,,2020-04-12
24837,Africa,马里,Mali,马里,Mali,87,0.0,22,7,,,,,,,2020-04-11
26158,Africa,马里,Mali,马里,Mali,87,0.0,22,7,,,,,,,2020-04-10
27591,Africa,马里,Mali,马里,Mali,59,0.0,16,7,,,,,,,2020-04-09
29509,Africa,马里,Mali,马里,Mali,56,0.0,1,5,,,,,,,2020-04-08
31029,Africa,马里,Mali,马里,Mali,47,0.0,1,5,,,,,,,2020-04-07
32934,Africa,马里,Mali,马里,Mali,47,0.0,1,5,,,,,,,2020-04-06
35009,Africa,马里,Mali,马里,Mali,41,0.0,1,3,,,,,,,2020-04-05
36631,Africa,马里,Mali,马里,Mali,41,0.0,1,3,,,,,,,2020-04-04
38069,Africa,马里,Mali,马里,Mali,39,0.0,0,3,,,,,,,2020-04-03
40942,Africa,马里,Mali,马里,Mali,31,0.0,0,3,,,,,,,2020-04-02
42051,Africa,马里,Mali,马里,Mali,31,0.0,0,3,,,,,,,2020-04-01
44303,Africa,马里,Mali,马里,Mali,28,0.0,0,2,,,,,,,2020-03-31
46252,Africa,马里,Mali,马里,Mali,25,0.0,0,2,,,,,,,2020-03-30
49176,Africa,马里,Mali,马里,Mali,18,0.0,0,1,,,,,,,2020-03-29
51110,Africa,马里,Mali,马里,Mali,18,0.0,0,0,,,,,,,2020-03-28
53402,Africa,马里,Mali,马里,Mali,4,0.0,0,0,,,,,,,2020-03-27
55906,Africa,马里,Mali,马里,Mali,2,0.0,0,0,,,,,,,2020-03-26
59957,Africa,马里,Mali,马里,Mali,2,0.0,0,0,,,,,,,2020-03-25
