,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
91,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,717,0.0,145,24,,,,,,,2020-04-29
897,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,717,0.0,145,24,,,,,,,2020-04-28
2342,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,710,0.0,145,24,,,,,,,2020-04-27
3419,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,707,0.0,145,24,,,,,,,2020-04-26
4716,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,704,0.0,143,24,,,,,,,2020-04-25
6558,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,696,0.0,140,22,,,,,,,2020-04-24
7822,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,688,0.0,140,22,,,,,,,2020-04-23
9173,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,682,0.0,108,22,,,,,,,2020-04-22
10816,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,677,0.0,103,21,,,,,,,2020-04-21
12276,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,677,0.0,102,21,,,,,,,2020-04-20
13428,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,673,0.0,99,21,,,,,,,2020-04-19
14700,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,672,0.0,94,21,,,,,,,2020-04-18
15806,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,668,0.0,86,21,,,,,,,2020-04-17
17797,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,663,0.0,85,21,,,,,,,2020-04-16
19007,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,658,0.0,81,21,,,,,,,2020-04-15
20500,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,641,0.0,80,21,,,,,,,2020-04-14
22218,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,632,0.0,80,20,,,,,,,2020-04-13
23092,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,630,0.0,77,20,,,,,,,2020-04-12
24554,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,619,0.0,76,20,,,,,,,2020-04-11
26126,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,609,0.0,67,20,,,,,,,2020-04-10
27321,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,582,0.0,62,19,,,,,,,2020-04-09
29179,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,575,0.0,62,19,,,,,,,2020-04-08
30968,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,548,0.0,60,19,,,,,,,2020-04-07
32908,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,541,0.0,55,19,,,,,,,2020-04-06
34587,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,527,0.0,54,18,,,,,,,2020-04-05
36673,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,520,0.0,50,17,,,,,,,2020-04-04
38052,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,508,0.0,46,17,,,,,,,2020-04-03
40477,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,494,0.0,43,16,,,,,,,2020-04-02
42038,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,479,0.0,37,12,,,,,,,2020-04-01
44119,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,463,0.0,35,12,,,,,,,2020-03-31
46178,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,446,0.0,32,11,,,,,,,2020-03-30
49025,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,438,0.0,30,10,,,,,,,2020-03-29
50870,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,412,0.0,27,8,,,,,,,2020-03-28
53175,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,391,0.0,23,6,,,,,,,2020-03-27
55691,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,368,0.0,20,6,,,,,,,2020-03-26
