,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1220,Europe,黑山,,75,0.0,0,1,2020-03-28
3214,Europe,黑山,,53,0.0,0,1,2020-03-27
5717,Europe,黑山,,53,0.0,0,0,2020-03-26
9951,Europe,黑山,,27,0.0,0,0,2020-03-25
11391,Europe,黑山,,27,0.0,0,0,2020-03-24
14743,Europe,黑山,,14,0.0,0,0,2020-03-23
17400,Europe,黑山,,14,0.0,0,0,2020-03-22
18837,Europe,黑山,,10,0.0,0,0,2020-03-21
19698,Europe,黑山,,10,0.0,0,0,2020-03-20
20980,Europe,黑山,,2,0.0,0,0,2020-03-19
23317,Europe,黑山,,2,0.0,0,0,2020-03-18
