,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
0,North America,美国,United States of America,美国,United States of America,164603,0.0,5896,3170,,,,,,,2020-04-01
1,Europe,瑞士,Switzerland,瑞士,Switzerland,16176,0.0,1823,373,,,,,,,2020-04-01
2,Europe,葡萄牙,Portugal,葡萄牙,Portugal,7443,0.0,22,160,,,,,,,2020-04-01
3,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2910,0.0,0,54,,,,,,,2020-04-01
4,North America,墨西哥,Mexico,墨西哥,Mexico,1094,0.0,1,20,,,,,,,2020-04-01
5,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,802,0.0,0,15,,,,,,,2020-04-01
6,Europe,安道尔,Andorra,安道尔,Andorra,370,0.0,10,8,,,,,,,2020-04-01
7,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,359,0.0,3,8,,,,,,,2020-04-01
8,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,329,0.0,1,6,,,,,,,2020-04-01
9,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,320,0.0,6,1,,,,,,,2020-04-01
10,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,295,0.0,0,2,,,,,,,2020-04-01
11,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,302,0.0,21,1,,,,,,,2020-04-01
12,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,298,0.0,26,5,,,,,,,2020-04-01
13,Asia,约旦,Jordan,约旦,Jordan,268,0.0,26,5,,,,,,,2020-04-01
14,Asia,科威特,Kuwait,科威特,Kuwait,289,0.0,73,0,,,,,,,2020-04-01
15,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,174,0.0,0,4,,,,,,,2020-04-01
16,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,143,0.0,0,3,,,,,,,2020-04-01
17,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,139,0.0,0,3,,,,,,,2020-04-01
18,North America,马提尼克,Martinique,马提尼克,Martinique,105,0.0,0,2,,,,,,,2020-04-01
19,Europe,意大利,Italy,意大利,Italy,105792,0.0,15729,12428,,,,,,,2020-04-01
20,North America,加拿大,Canada,加拿大,Canada,7448,0.0,345,80,,,,,,,2020-04-01
21,Europe,挪威,Norway,挪威,Norway,4615,0.0,0,38,,,,,,,2020-04-01
