,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
9582,Europe,意大利,Italy,70545,0.0,8326,6820
9583,North America,美国,United States of America,55243,0.0,354,802
9584,Europe,西班牙,Spain,47610,0.0,5367,3434
9585,Europe,德国,Germany,35743,0.0,3290,187
9586,Europe,比利时,Belgium,4937,0.0,350,178
9587,Europe,挪威,Norway,2796,0.0,0,12
9588,North America,加拿大,Canada,2892,0.0,112,28
9589,Oceania,澳大利亚,Australia,2136,0.0,27,8
9590,Asia,以色列,Israel,2030,0.0,58,5
9591,Asia,马来西亚,Malaysia,1796,0.0,199,19
9592,Europe,捷克,Czech Republic,1497,0.0,10,5
9593,Europe,爱尔兰,Ireland,1329,0.0,0,7
9594,Europe,卢森堡,Luxembourg,1099,0.0,0,8
9595,Asia,巴基斯坦,Pakistan,998,0.0,6,7
9596,South America,智利,Chile,922,0.0,17,2
9597,Europe,波兰,Poland,901,0.0,13,10
9598,Asia,沙特阿拉伯,Saudi Arabia,900,0.0,29,2
9599,Asia,泰国,Thailand,934,0.0,70,4
9600,Europe,芬兰,Finland,792,0.0,10,1
9601,Africa,南非,South Africa,709,0.0,0,0
9602,Europe,冰岛,Iceland,648,0.0,0,2
9603,Europe,俄罗斯,Russia,658,0.0,29,1
9604,Asia,印度,India,606,0.0,42,10
9605,Europe,罗马尼亚,Romania,576,0.0,31,7
9606,Asia,卡塔尔,Qatar,526,0.0,41,0
9607,Asia,新加坡,Singapore,631,0.0,152,2
9608,Europe,斯洛文尼亚,Slovenia,442,0.0,0,3
9609,North America,巴拿马,Panama,443,0.0,0,6
9610,North America,墨西哥,Mexico,405,0.0,1,5
9611,South America,秘鲁,Peru,395,0.0,1,5
9612,South America,阿根廷,Argentina,387,0.0,1,6
9613,Europe,塞尔维亚,Republic of Serbia,384,0.0,0,4
9614,South America,哥伦比亚,Colombia,378,0.0,6,3
9615,Europe,爱沙尼亚,Estonia,369,0.0,0,0
9616,Africa,埃及,Egypt,442,0.0,80,21
9617,Asia,黎巴嫩,Lebanon,333,0.0,8,4
9618,Europe,克罗地亚,Croatia,315,0.0,5,1
9619,Asia,阿联酋,United Arab Emirates,333,0.0,52,2
9620,Asia,亚美尼亚,Armenia,265,0.0,16,0
9621,North America,多米尼加,Dominican Republic,245,0.0,0,3
9622,Africa,阿尔及利亚,Algeria,264,0.0,12,19
9623,Asia,巴林,Bahrain,419,0.0,190,3
9624,Europe,保加利亚,Bulgaria,218,0.0,3,3
9625,Europe,立陶宛,Lithuania,209,0.0,1,1
9626,Oceania,新西兰,New Zealand,205,4.0,0,0
9627,Europe,拉脱维亚,Latvia,197,0.0,0,0
9628,Europe,斯洛伐克,Slovakia,204,0.0,7,1
