,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
41167,Asia,中国,China,陕西省,Shaanxi,245,0.0,227,1
41179,Asia,中国,China,湖北省,Hubei,67707,0.0,45235,2986
41196,Asia,中国,China,广东省,Guangdong,1352,0.0,1256,7
41217,Asia,中国,China,黑龙江省,Heilongjiang,481,0.0,412,13
41230,Asia,中国,China,香港,Hong Kong,114,0.0,58,3
41231,Asia,中国,China,甘肃省,Gansu,124,0.0,87,2
41263,Asia,中国,China,四川省,Sichuan,539,0.0,464,3
41285,Asia,中国,China,湖南省,Hunan,1018,0.0,968,4
41371,Asia,中国,China,山东省,Shandong,758,0.0,642,6
41419,Asia,中国,China,江苏省,Jiangsu,631,0.0,612,0
41433,Asia,中国,China,浙江省,Zhejiang,1215,0.0,1161,1
41491,Asia,中国,China,江西省,Jiangxi,935,0.0,919,1
41504,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,73,3
41584,Asia,中国,China,辽宁省,Liaoning,125,0.0,109,1
41597,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,70,1
41608,Asia,中国,China,河南省,Henan,1272,0.0,1247,22
41627,Asia,中国,China,安徽省,Anhui,990,0.0,984,6
41686,Asia,中国,China,上海市,Shanghai,342,0.0,314,3
41711,Asia,中国,China,海南省,Hainan,168,0.0,159,6
41810,Asia,中国,China,台湾,Taiwan,45,0.0,13,1
41874,Asia,中国,China,北京市,Beijing,428,0.0,308,8
41892,Asia,中国,China,贵州省,Guizhou,146,0.0,117,2
41978,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,223,2
42020,Asia,中国,China,重庆市,Chongqing,576,0.0,526,6
