,English Na,Name,Flag,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01
0,United States of America,美国,https://www.countryflags.io/us/flat/64.png,5.0,0.0,0.0,0.0,6.0,6.0,8.0,9.0,11.0,0.0,12.0,0.0,0.0,0.0,12.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,0.0,0.0,15.0,0.0,35.0,35.0,35.0,53.0,57.0,60.0,60.0,63.0,63.0,77.0,100.0,122.0,153.0,232.0,324.0,445.0,572.0,704.0,1004.0,1004.0,1635.0,2084.0,2885.0,3700.0,4661.0,6420.0,10259.0,14250.0,19624.0,26997.0,35360.0,46450.0,55243.0,69194.0,85840.0,105470.0,124686.0,143101.0,164603.0,164603.0
1,Switzerland,瑞士,https://www.countryflags.io/ch/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,15.0,24.0,27.0,46.0,58.0,66.0,128.0,210.0,228.0,312.0,476.0,476.0,476.0,1009.0,1189.0,1189.0,1563.0,2269.0,2269.0,3438.0,3888.0,6113.0,7014.0,8060.0,8836.0,8836.0,9765.0,11811.0,13213.0,14336.0,14799.0,16176.0,16176.0
2,Portugal,葡萄牙,https://www.countryflags.io/pt/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,8.0,15.0,30.0,30.0,30.0,59.0,59.0,59.0,112.0,245.0,448.0,448.0,642.0,642.0,1280.0,1600.0,2060.0,2060.0,2362.0,2995.0,3544.0,4268.0,5962.0,6408.0,7443.0,7443.0
3,Ireland,爱尔兰,https://www.countryflags.io/ie/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,13.0,18.0,19.0,21.0,24.0,34.0,43.0,70.0,90.0,129.0,169.0,223.0,292.0,366.0,557.0,683.0,785.0,906.0,1125.0,1329.0,1564.0,1819.0,2121.0,2415.0,2615.0,2910.0,2910.0
4,Mexico,墨西哥,https://www.countryflags.io/mx/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,11.0,15.0,26.0,41.0,53.0,82.0,93.0,118.0,164.0,203.0,251.0,316.0,367.0,405.0,475.0,585.0,717.0,858.0,993.0,1094.0,1094.0
5,Slovenia,斯洛文尼亚,https://www.countryflags.io/si/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,12.0,16.0,25.0,31.0,57.0,89.0,141.0,181.0,219.0,253.0,275.0,275.0,286.0,341.0,341.0,414.0,442.0,442.0,526.0,528.0,632.0,632.0,691.0,756.0,802.0
6,Andorra,安道尔,https://www.countryflags.io/ad/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,15.0,40.0,54.0,75.0,88.0,114.0,133.0,164.0,185.0,220.0,263.0,263.0,334.0,334.0,370.0,370.0
7,Bulgaria,保加利亚,https://www.countryflags.io/bg/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,7.0,23.0,30.0,43.0,51.0,51.0,81.0,92.0,107.0,127.0,163.0,187.0,201.0,218.0,242.0,264.0,313.0,313.0,338.0,359.0,359.0
8,North Macedonia,北马其顿,https://www.countryflags.io/mk/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,7.0,9.0,9.0,13.0,13.0,18.0,18.0,31.0,35.0,67.0,67.0,70.0,136.0,136.0,136.0,148.0,177.0,201.0,219.0,257.0,259.0,329.0
9,Uruguay,乌拉圭,https://www.countryflags.io/uy/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,29.0,50.0,79.0,94.0,110.0,135.0,158.0,158.0,189.0,217.0,238.0,238.0,238.0,309.0,320.0,320.0
10,Costa Rica,哥斯达黎加,https://www.countryflags.io/cr/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,13.0,22.0,22.0,22.0,22.0,35.0,41.0,50.0,69.0,87.0,113.0,117.0,134.0,158.0,158.0,201.0,231.0,263.0,295.0,295.0,295.0,295.0
11,Kazakhstan,哈萨克斯坦,https://www.countryflags.io/kz/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,8.0,32.0,35.0,44.0,49.0,53.0,54.0,60.0,66.0,80.0,97.0,135.0,191.0,271.0,302.0,302.0,302.0
12,Azerbaijan,阿塞拜疆,https://www.countryflags.io/az/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,13.0,15.0,19.0,19.0,19.0,23.0,28.0,34.0,34.0,34.0,44.0,44.0,72.0,72.0,93.0,93.0,165.0,165.0,182.0,273.0,273.0,298.0
13,Jordan,约旦,https://www.countryflags.io/jo/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,13.0,34.0,49.0,57.0,70.0,86.0,99.0,112.0,127.0,153.0,172.0,212.0,235.0,246.0,259.0,268.0,268.0
14,Kuwait,科威特,https://www.countryflags.io/kw/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,25.0,43.0,43.0,43.0,46.0,46.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,69.0,69.0,69.0,80.0,100.0,100.0,112.0,130.0,142.0,148.0,159.0,176.0,188.0,189.0,191.0,195.0,208.0,225.0,235.0,255.0,266.0,289.0,289.0
15,Afghanistan,阿富汗,https://www.countryflags.io/af/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,7.0,7.0,7.0,10.0,16.0,16.0,22.0,22.0,22.0,24.0,24.0,34.0,40.0,42.0,79.0,84.0,95.0,110.0,117.0,145.0,174.0,174.0
16,Mauritius,毛里求斯,https://www.countryflags.io/mu/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,24.0,28.0,36.0,48.0,52.0,94.0,102.0,107.0,110.0,143.0,143.0
17,Honduras,洪都拉斯,https://www.countryflags.io/hn/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,9.0,24.0,24.0,24.0,24.0,26.0,30.0,52.0,68.0,68.0,68.0,139.0,139.0,139.0
18,Martinique,马提尼克,https://www.countryflags.io/mq/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,15.0,16.0,16.0,23.0,32.0,32.0,32.0,32.0,53.0,57.0,66.0,66.0,93.0,93.0,105.0,105.0
19,Italy,意大利,https://www.countryflags.io/it/flat/64.png,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,117.0,230.0,283.0,374.0,528.0,653.0,888.0,1128.0,1694.0,2036.0,2502.0,3089.0,3927.0,4636.0,5883.0,7375.0,9172.0,10283.0,12462.0,15113.0,17660.0,21270.0,24938.0,29022.0,31506.0,37178.0,41035.0,47021.0,55218.0,59514.0,64378.0,70545.0,74386.0,81129.0,87275.0,93051.0,97689.0,102106.0,105792.0
20,Canada,加拿大,https://www.countryflags.io/ca/flat/64.png,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,11.0,11.0,12.0,14.0,16.0,20.0,24.0,24.0,30.0,33.0,48.0,53.0,60.0,66.0,77.0,93.0,107.0,149.0,198.0,253.0,343.0,436.0,595.0,727.0,923.0,1146.0,1377.0,1472.0,2091.0,2892.0,3409.0,4043.0,4760.0,5867.0,6671.0,7448.0,7448.0
21,Norway,挪威,https://www.countryflags.io/no/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,17.0,19.0,32.0,33.0,56.0,86.0,113.0,147.0,169.0,169.0,277.0,489.0,703.0,750.0,1046.0,1077.0,1331.0,1452.0,1562.0,1758.0,1939.0,2150.0,2532.0,2573.0,2796.0,3041.0,3315.0,3771.0,3981.0,4284.0,4451.0,4615.0
22,Brazil,巴西,https://www.countryflags.io/br/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,8.0,13.0,19.0,25.0,25.0,34.0,52.0,77.0,98.0,151.0,200.0,234.0,291.0,514.0,621.0,904.0,1128.0,1546.0,1891.0,2201.0,2433.0,2915.0,3417.0,3904.0,4256.0,4579.0,4579.0
